,country,country_code
188,Sierra leone,SLE
189,Singapore,SGP
190,Sint maarten,SXM
191,Slovakia,SVK
192,Slovenia,SVN
193,Solomon islands,SLB
194,Somalia,SOM
195,South africa,ZAF
196,South korea,KOR
197,South sudan,SSD
198,Spain,ESP
199,Sri lanka,LKA
200,St. vincent & grenadines,VCT
201,State of palestine,PSE
202,Sudan,SDN
203,Suriname,SUR
204,Svalbard and jan mayen,SJM
205,Sweden,SWE
206,Switzerland,CHE
207,Syria,SYR
208,Taiwan,TWN
209,Tajikistan,TJK
210,Tanzania,TZA
211,Thailand,THA
212,Timor-leste,TLS
213,Togo,TGO
214,Tokelau,TKL
215,Tonga,TON
216,Trinidad and tobago,TTO
217,Tunisia,TUN
218,Turkey,TUR
219,Turkmenistan,TKM
220,Turks and caicos,TCA
221,Tuvalu,TUV
222,U.s. virgin islands,VIR
223,Uganda,UGA
224,Ukraine,UKR
225,United arab emirates,ARE
226,United kingdom,GBR
227,United states,USA
228,Uruguay,URY
229,Uzbekistan,UZB
230,Vanuatu,VUT
231,Venezuela,VEN
232,Vietnam,VNM
233,Wallis & futuna,WLF
234,Western sahara,ESH
235,Yemen,YEM
236,Zambia,ZMB
237,Zimbabwe,ZWE
